REGION,SEX_C2,AGE_C7,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X99
2,Male,7,616.00,137.00,319.00,529.00,624.00,333.00,2163.00,262.00,1080.00,385.00,831.00,310.00,1861.00,63.00,291.00,240.00,299.00,621.00,118.00,602.00
2,Female,1,253.00,29.00,50.00,37.00,157.00,59.00,150.00,130.00,837.00,528.00,935.00,660.00,9421.00,1675.00,3345.00,2303.00,1651.00,1066.00,23.00,1138.00
2,Female,2,265.00,43.00,57.00,46.00,173.00,96.00,165.00,118.00,846.00,488.00,933.00,644.00,9821.00,754.00,2189.00,2014.00,2209.00,4820.00,261.00,938.00
2,Female,3,566.00,71.00,129.00,146.00,399.00,310.00,365.00,343.00,1988.00,909.00,1858.00,1260.00,17923.00,858.00,3215.00,2762.00,3029.00,8005.00,916.00,1362.00
2,Female,4,493.00,120.00,146.00,235.00,518.00,482.00,498.00,452.00,2835.00,1142.00,2366.00,1587.00,15901.00,559.00,2949.00,2284.00,1727.00,4132.00,615.00,1175.00
2,Female,5,542.00,180.00,278.00,381.00,684.00,668.00,955.00,697.00,3963.00,1362.00,2357.00,1638.00,11682.00,343.00,1710.00,1258.00,1051.00,1978.00,350.00,1110.00
2,Female,6,447.00,183.00,373.00,572.00,727.00,550.00,1973.00,579.00,2409.00,917.00,1939.00,963.00,4462.00,183.00,731.00,632.00,673.00,1411.00,162.00,888.00
2,Female,7,1164.00,271.00,572.00,1080.00,1128.00,641.00,3254.00,388.00,1435.00,621.00,1257.00,444.00,2424.00,65.00,300.00,230.00,269.00,654.00,66.00,851.00
3,Male,1,135.00,12.00,18.00,17.00,56.00,57.00,78.00,97.00,638.00,352.00,598.00,342.00,4604.00,783.00,1361.00,883.00,433.00,259.00,1.00,247.00
3,Male,2,120.00,8.00,13.00,22.00,48.00,34.00,73.00,73.00,528.00,320.00,609.00,336.00,5237.00,393.00,1034.00,941.00,744.00,1390.00,58.00,211.00
3,Male,3,219.00,24.00,51.00,79.00,107.00,122.00,163.00,118.00,1246.00,483.00,945.00,536.00,8835.00,397.00,1282.00,1310.00,1327.00,2838.00,306.00,352.00
3,Male,4,257.00,52.00,94.00,160.00,265.00,232.00,340.00,293.00,1982.00,642.00,1126.00,670.00,7611.00,158.00,849.00,1028.00,795.00,1835.00,230.00,346.00
3,Male,5,361.00,94.00,179.00,259.00,442.00,363.00,582.00,444.00,2685.00,776.00,1263.00,651.00,6271.00,101.00,545.00,601.00,542.00,1196.00,185.00,359.00
3,Male,6,389.00,88.00,203.00,394.00,509.00,314.00,972.00,333.00,1556.00,434.00,991.00,406.00,2560.00,67.00,251.00,326.00,377.00,765.00,93.00,270.00
3,Male,7,969.00,191.00,408.00,660.00,662.00,332.00,1309.00,177.00,701.00,291.00,497.00,181.00,960.00,24.00,98.00,123.00,150.00,313.00,28.00,254.00
3,Female,1,78.00,7.00,16.00,14.00,33.00,29.00,52.00,79.00,474.00,278.00,481.00,307.00,4061.00,811.00,1429.00,1033.00,627.00,381.00,2.00,194.00
3,Female,2,103.00,10.00,13.00,14.00,37.00,35.00,52.00,60.00,425.00,236.00,419.00,317.00,4623.00,388.00,976.00,1015.00,938.00,1848.00,62.00,188.00
3,Female,3,153.00,31.00,44.00,59.00,135.00,139.00,193.00,164.00,1124.00,453.00,999.00,537.00,8316.00,361.00,1238.00,1254.00,1293.00,2994.00,235.00,266.00
3,Female,4,229.00,55.00,64.00,144.00,236.00,250.00,385.00,332.00,1878.00,627.00,1154.00,697.00,7569.00,191.00,961.00,962.00,724.00,1524.00,142.00,259.00
3,Female,5,342.00,97.00,206.00,328.00,483.00,456.00,736.00,581.00,2523.00,769.00,1279.00,841.00,6062.00,117.00,631.00,615.00,456.00,873.00,85.00,299.00
3,Female,6,438.00,148.00,256.00,556.00,608.00,453.00,1165.00,386.00,1454.00,489.00,947.00,554.00,2135.00,75.00,270.00,295.00,321.00,573.00,36.00,265.00
3,Female,7,1227.00,219.00,498.00,990.00,941.00,529.00,1652.00,247.00,736.00,372.00,614.00,253.00,1085.00,21.00,85.00,118.00,126.00,250.00,17.00,271.00
4,Male,1,338.00,38.00,53.00,46.00,157.00,96.00,213.00,220.00,1287.00,682.00,1336.00,707.00,12540.00,1890.00,3627.00,2395.00,1412.00,919.00,14.00,1056.00
4,Male,2,357.00,31.00,36.00,39.00,184.00,125.00,265.00,229.00,1503.00,650.00,1420.00,735.00,12326.00,757.00,2052.00,2008.00,1975.00,3827.00,147.00,790.00
4,Male,3,644.00,98.00,141.00,178.00,410.00,358.00,778.00,537.00,3794.00,1126.00,2419.00,1252.00,19818.00,736.00,2753.00,2506.00,2693.00,6560.00,803.00,1158.00
4,Male,4,689.00,168.00,213.00,374.00,812.00,668.00,1603.00,1001.00,6393.00,1620.00,2861.00,1765.00,17058.00,401.00,2033.00,2034.00,1770.00,4214.00,809.00,1162.00
4,Male,5,826.00,283.00,442.00,827.00,1465.00,1117.00,2565.00,1533.00,7422.00,1859.00,2820.00,1725.00,13346.00,243.00,1250.00,1334.00,1115.00,2586.00,600.00,1211.00
4,Male,6,869.00,333.00,619.00,1143.00,1763.00,1038.00,3468.00,977.00,4049.00,1100.00,2356.00,1031.00,6066.00,183.00,722.00,836.00,965.00,1960.00,369.00,1017.00
4,Male,7,3138.00,803.00,1296.00,2251.00,2421.00,1002.00,3963.00,478.00,1845.00,771.00,1351.00,574.00,2894.00,85.00,382.00,440.00,481.00,1189.00,166.00,1022.00
4,Female,1,255.00,24.00,32.00,27.00,156.00,46.00,148.00,156.00,820.00,481.00,1071.00,599.00,11248.00,2124.00,4063.00,3155.00,2060.00,1366.00,14.00,955.00
4,Female,2,290.00,26.00,37.00,41.00,131.00,68.00,166.00,165.00,1052.00,538.00,1032.00,625.00,11490.00,801.00,2432.00,2447.00,2746.00,5193.00,189.00,709.00
4,Female,3,557.00,70.00,91.00,137.00,399.00,319.00,832.00,556.00,3041.00,1109.00,2207.00,1244.00,21958.00,786.00,3148.00,2908.00,3609.00,8003.00,794.00,1087.00
4,Female,4,618.00,144.00,192.00,318.00,736.00,706.00,1755.00,1184.00,5501.00,1402.00,2928.00,1834.00,20845.00,575.00,2799.00,2516.00,1914.00,4191.00,645.00,1033.00
4,Female,5,848.00,286.00,427.00,787.00,1570.00,1439.00,3032.00,1780.00,6913.00,1935.00,3030.00,1974.00,16086.00,408.00,1828.00,1484.00,1333.00,2323.00,387.00,1209.00
4,Female,6,1099.00,401.00,745.00,1521.00,2137.00,1441.00,3979.00,1100.00,3806.00,1357.00,2532.00,1404.00,6505.00,246.00,814.00,780.00,1152.00,1934.00,247.00,1102.00
4,Female,7,4190.00,898.00,1858.00,3302.00,3457.00,1520.00,5020.00,624.00,2129.00,1016.00,1841.00,751.00,4030.00,98.00,371.00,329.00,501.00,1098.00,94.00,1382.00
5,Male,1,888.00,64.00,126.00,85.00,319.00,247.00,386.00,489.00,2485.00,1661.00,3127.00,1761.00,27525.00,6059.00,10382.00,8424.00,4530.00,3127.00,76.00,2769.00
5,Male,2,903.00,84.00,112.00,91.00,342.00,202.00,371.00,454.00,2580.00,1489.00,3004.00,1846.00,26237.00,2278.00,5409.00,7077.00,5488.00,11925.00,920.00,2124.00
5,Male,3,1542.00,182.00,277.00,348.00,862.00,544.00,874.00,1025.00,5786.00,2580.00,5598.00,3209.00,46429.00,2145.00,6746.00,9423.00,6889.00,18441.00,3358.00,2986.00
5,Male,4,1465.00,328.00,502.00,717.00,1345.00,1094.00,1807.00,1643.00,9026.00,3608.00,6452.00,4343.00,41452.00,1220.00,5281.00,7462.00,4464.00,11448.00,3287.00,2603.00
5,Male,5,1771.00,669.00,1015.00,1820.00,2791.00,2218.00,3958.00,3061.00,13103.00,5052.00,7543.00,4605.00,37206.00,827.00,4111.00,5483.00,3065.00,8143.00,2126.00,2923.00
5,Male,6,1693.00,757.00,1247.00,2452.00,3184.00,2386.00,7321.00,2464.00,8110.00,2992.00,6820.00,2569.00,18283.00,631.00,2296.00,3020.00,2366.00,6647.00,1474.00,2594.00
5,Male,7,3651.00,1225.00,2265.00,4148.00,4357.00,2559.00,10862.00,1886.00,5022.00,2496.00,4674.00,1660.00,11088.00,434.00,1501.00,1787.00,1690.00,4919.00,936.00,2890.00
5,Female,1,646.00,55.00,70.00,76.00,238.00,128.00,242.00,340.00,1701.00,1140.00,2298.00,1553.00,23266.00,5989.00,11204.00,9840.00,5556.00,4033.00,93.00,2541.00
5,Female,2,716.00,41.00,65.00,63.00,247.00,152.00,250.00,365.00,1819.00,1223.00,2401.00,1651.00,23219.00,2244.00,5549.00,7806.00,5990.00,14916.00,1058.00,1818.00
5,Female,3,1183.00,153.00,200.00,223.00,658.00,517.00,837.00,1094.00,4919.00,2457.00,4782.00,2994.00,47283.00,2458.00,7597.00,10468.00,7166.00,21773.00,3583.00,2583.00
5,Female,4,1288.00,255.00,382.00,577.00,1215.00,1109.00,1903.00,2017.00,8530.00,3458.00,6560.00,4300.00,48079.00,1904.00,7117.00,8835.00,4321.00,12062.00,2526.00,2339.00
5,Female,5,1742.00,649.00,1020.00,1768.00,2874.00,2889.00,4714.00,3640.00,14479.00,5289.00,8473.00,5274.00,43106.00,1730.00,6000.00,6376.00,3284.00,7852.00,1498.00,3031.00
5,Female,6,2106.00,863.00,1557.00,3147.00,3682.00,3260.00,9807.00,2974.00,9255.00,3812.00,7360.00,3532.00,20420.00,1213.00,2995.00,2948.00,2577.00,6715.00,888.00,2995.00
5,Female,7,5988.00,1672.00,3479.00,6719.00,6807.00,4312.00,17400.00,2588.00,7553.00,4094.00,6747.00,2529.00,15641.00,643.00,1743.00,1641.00,1741.00,4467.00,445.00,4364.00
13,Male,1,3379.00,352.00,532.00,533.00,1406.00,1043.00,2021.00,2262.00,11005.00,6938.00,13020.00,8457.00,108373.00,23911.00,40617.00,31719.00,21092.00,15061.00,590.00,11430.00
13,Male,2,3899.00,382.00,586.00,639.00,1632.00,1168.00,2184.00,2268.00,11780.00,6926.00,13193.00,9018.00,106215.00,10148.00,22498.00,25358.00,28418.00,64765.00,6828.00,9631.00
13,Male,3,6508.00,911.00,1468.00,1708.00,3817.00,3070.00,4815.00,4668.00,23680.00,10358.00,21473.00,14331.00,176328.00,10267.00,30743.00,35703.00,39772.00,104666.00,27778.00,13356.00
13,Male,4,5843.00,1245.00,1961.00,2880.00,5367.00,4774.00,7515.00,7307.00,34555.00,13685.00,26004.00,17697.00,156452.00,5403.00,22773.00,25541.00,23794.00,63735.00,24111.00,11078.00
13,Male,5,6479.00,2079.00,3405.00,5836.00,9139.00,7135.00,12064.00,10022.00,45432.00,17618.00,28877.00,17465.00,131241.00,3578.00,17190.00,18197.00,14532.00,41530.00,14020.00,10287.00
13,Male,6,5254.00,2284.00,4011.00,7218.00,9908.00,7085.00,22060.00,8633.00,28978.00,10408.00,22016.00,8796.00,54856.00,2172.00,7761.00,8847.00,9013.00,27249.00,7500.00,8288.00
13,Male,7,9664.00,3387.00,6346.00,11374.00,11920.00,6687.00,29171.00,5164.00,14833.00,6897.00,13202.00,4896.00,30944.00,1348.00,4431.00,5035.00,5465.00,19163.00,4295.00,8072.00
13,Female,1,2567.00,235.00,349.00,298.00,1072.00,570.00,1373.00,1603.00,7915.00,5053.00,9481.00,6738.00,97671.00,23894.00,43848.00,35922.00,24176.00,18187.00,664.00,10364.00
13,Female,2,2796.00,278.00,404.00,371.00,1161.00,741.00,1405.00,1717.00,8357.00,5027.00,9816.00,7226.00,97596.00,9830.00,22888.00,27407.00,28823.00,74107.00,7263.00,8113.00
13,Female,3,5010.00,628.00,951.00,1234.00,2984.00,2621.00,4386.00,4640.00,20713.00,9035.00,17976.00,12605.00,179935.00,10766.00,32098.00,36957.00,37476.00,112802.00,26694.00,11520.00
